OPTIMIZER, DROPOUT_RATE, KERNEL_INITIALIZER, Accuracy
'ADAM',0, 'RandomUniform',0.9424999952316280
'ADAM',0, 'zero',0.9410833120346060
'ADAM',0, 'GlorotNormal',0.9389166831970210
'ADAM',0, 'RandomNormal',0.9388333559036250
'RMSprop',0, 'RandomUniform',0.9387500286102290
'RMSprop',0, 'RandomNormal',0.9364166855812070
'ADAM',0.2, 'zero',0.9362499713897700
'RMSprop',0, 'GlorotNormal',0.9341666698455810
'RMSprop',0.2, 'RandomNormal',0.9333333373069760
'RMSprop',0.2, 'zero',0.9329166412353510
'RMSprop',0, 'zero',0.9327499866485590
'ADAM',0.2, 'RandomUniform',0.9326666593551630
'RMSprop',0.2, 'GlorotNormal',0.9325000047683710
'RMSprop',0.2, 'RandomUniform',0.9324166774749750
'SGD',0, 'RandomNormal',0.9312499761581420
'ADAM',0.2, 'RandomNormal',0.9301666617393490
'SGD',0, 'GlorotNormal',0.9294999837875360
'ADAM',0.2, 'GlorotNormal',0.9285833239555350
'SGD',0, 'RandomUniform',0.9284166693687430
'SGD',0, 'zero',0.9280833601951590
'SGD',0.2, 'RandomNormal',0.9233333468437190
'SGD',0.2, 'GlorotNormal',0.9229166507720940
'SGD',0.2, 'RandomUniform',0.9192500114440910
'SGD',0.2, 'zero',0.9178333282470700
'Adagrad',0, 'GlorotNormal',0.8783333301544180
'Adagrad',0, 'RandomUniform',0.8723333477973930
'Adagrad',0.2, 'GlorotNormal',0.8700833320617670
'Adagrad',0, 'zero',0.8700000047683710
'Adagrad',0, 'RandomNormal',0.8698333501815790
'Adagrad',0.2, 'zero',0.8634999990463250
'Adagrad',0.2, 'RandomUniform',0.8594999909400930
'Adagrad',0.2, 'RandomNormal',0.8566666841506950
'SGD',0.5, 'RandomUniform',0.0948333367705345
'SGD',0.5, 'GlorotNormal',0.0948333367705345
'SGD',0.5, 'RandomNormal',0.0948333367705345
'SGD',0.5, 'zero',0.0948333367705345
'ADAM',0.5, 'RandomUniform',0.0948333367705345
'ADAM',0.5, 'GlorotNormal',0.0948333367705345
'ADAM',0.5, 'RandomNormal',0.0948333367705345
'ADAM',0.5, 'zero',0.0948333367705345
'RMSprop',0.5, 'RandomUniform',0.0948333367705345
'RMSprop',0.5, 'GlorotNormal',0.0948333367705345
'RMSprop',0.5, 'RandomNormal',0.0948333367705345
'RMSprop',0.5, 'zero',0.0948333367705345
'Adagrad',0.5, 'RandomUniform',0.0948333367705345
'Adagrad',0.5, 'GlorotNormal',0.0948333367705345
'Adagrad',0.5, 'RandomNormal',0.0948333367705345
'Adagrad',0.5, 'zero',0.0948333367705345
